[2019-12-09 06:34:04] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-09 06:34:05] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 0 rows [] []
[2019-12-09 06:34:05] db_update.INFO: Cities were successfully updated, affected 8298 rows, deleted 0 rows [] []
[2019-12-09 06:34:10] db_update.INFO: Warehouses were successfully updated, affected 10522 rows, deleted 0 rows [] []
[2019-12-09 06:34:10] db_update.INFO: Warehouses were successfully updated, affected 12044 rows, deleted 0 rows [] []
[2019-12-10 09:01:23] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-10 09:01:25] db_update.INFO: Cities were successfully updated, affected 8302 rows, deleted 0 rows [] []
[2019-12-10 09:01:33] db_update.INFO: Warehouses were successfully updated, affected 12051 rows, deleted 2 rows [] []
[2019-12-11 10:41:47] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-11 10:41:50] db_update.INFO: Cities were successfully updated, affected 8306 rows, deleted 0 rows [] []
[2019-12-11 10:41:57] db_update.INFO: Warehouses were successfully updated, affected 12060 rows, deleted 10 rows [] []
[2019-12-12 10:49:15] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-12 10:49:16] db_update.INFO: Cities were successfully updated, affected 8309 rows, deleted 0 rows [] []
[2019-12-12 10:49:22] db_update.INFO: Warehouses were successfully updated, affected 12084 rows, deleted 3 rows [] []
[2019-12-13 19:49:54] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-13 19:49:55] db_update.INFO: Cities were successfully updated, affected 8308 rows, deleted 3 rows [] []
[2019-12-13 19:49:59] db_update.INFO: Warehouses were successfully updated, affected 12100 rows, deleted 2 rows [] []
[2019-12-15 11:26:53] db_update.INFO: Areas were successfully updated, affected 50 rows, deleted 0 rows [] []
[2019-12-15 11:26:58] db_update.INFO: Cities were successfully updated, affected 8310 rows, deleted 0 rows [] []
[2019-12-15 11:27:03] db_update.INFO: Warehouses were successfully updated, affected 12108 rows, deleted 0 rows [] []
[2019-12-15 15:52:46] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 15:52:51] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 15:52:56] db_update.INFO: Warehouses were successfully updated, affected 6054 rows, deleted 0 rows [] []
[2019-12-15 15:52:57] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 15:53:01] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 15:53:05] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted  rows [] []
[2019-12-15 15:53:05] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 15:53:09] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 15:53:14] db_update.INFO: Warehouses were successfully updated, affected 6054 rows, deleted 0 rows [] []
[2019-12-15 16:11:36] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 16:11:40] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 16:11:45] db_update.INFO: Warehouses were successfully updated, affected 6054 rows, deleted 0 rows [] []
[2019-12-15 16:12:57] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 16:13:01] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 16:13:06] db_update.INFO: Warehouses were successfully updated, affected 6054 rows, deleted 0 rows [] []
[2019-12-15 16:16:49] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2019-12-15 16:16:53] db_update.INFO: Cities were successfully updated, affected 4155 rows, deleted 0 rows [] []
[2019-12-15 16:16:58] db_update.INFO: Warehouses were successfully updated, affected 6054 rows, deleted 0 rows [] []
[2019-12-16 08:54:15] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
